id,gene
ENSMUSG00000030543,Mesp2
ENSMUSG00000030544,Mesp1
ENSMUSG00000050295,Foxc1
ENSMUSG00000019960,Dusp6
ENSMUSG00000027102,Hoxd8
ENSMUSG00000029646,Cdx2
ENSMUSG00000031734,Irx3
ENSMUSG00000038793,Lefty1
ENSMUSG00000047002,Msgn1
ENSMUSG00000066026,Dhrs3
ENSMUSG00000075304,Sp5
ENSMUSG00000001228,Uhrf1
ENSMUSG00000002059,Rab34
ENSMUSG00000002297,Dbf4
ENSMUSG00000004231,Pax2
ENSMUSG00000004642,Slbp
ENSMUSG00000005506,Celf1
ENSMUSG00000006932,Ctnnb1
ENSMUSG00000007872,Id3
ENSMUSG00000007880,Arid1a
ENSMUSG00000008999,Bmp7
ENSMUSG00000016128,Stard13
ENSMUSG00000016526,Dyrk3
ENSMUSG00000017291,Taok1
ENSMUSG00000018189,Uchl5
ENSMUSG00000018486,Wnt9b
ENSMUSG00000018604,Tbx3
ENSMUSG00000019647,Sema6a
ENSMUSG00000019961,Tmpo
ENSMUSG00000020423,Btg2
ENSMUSG00000020477,Mrps24
ENSMUSG00000020954,Strn3
ENSMUSG00000021067,Sav1
ENSMUSG00000021068,Nin
ENSMUSG00000021127,Zfp36l1
ENSMUSG00000021171,Esyt2
ENSMUSG00000021318,Gli3
ENSMUSG00000021359,Tfap2a
ENSMUSG00000021453,Gadd45g
ENSMUSG00000021846,Peli2
ENSMUSG00000021848,Otx2
ENSMUSG00000022114,Spry2
ENSMUSG00000022120,Rnf219
ENSMUSG00000022528,Hes1
ENSMUSG00000024868,Dkk1
ENSMUSG00000025147,Mob2
ENSMUSG00000025219,Fgf8
ENSMUSG00000025813,Homer2
ENSMUSG00000025880,Smad7
ENSMUSG00000025902,Sox17
ENSMUSG00000025927,Tfap2b
ENSMUSG00000026347,Tmem163
ENSMUSG00000026356,Dars
ENSMUSG00000026497,Mixl1
ENSMUSG00000026872,Zeb2
ENSMUSG00000027315,Spint1
ENSMUSG00000027422,Rrbp1
ENSMUSG00000028023,Pitx2
